[190, 1750, 2574, 4016, 4215, 4365, 6001, 7112, 7435, 7806, 10104, 11242, 11439, 12093, 12577, 13004, 13157, 13402, 13950, 13952, 15331, 15427, 16044, 16593, 17884, 18100, 18103, 18106, 18300, 18716, 19856, 21109, 21520, 22589, 23905, 24244, 24446, 25248, 25905, 26021, 26121, 26359, 26649, 27274, 28631, 28850, 30627, 31424, 31949, 32732, 107, 552, 584, 620, 2093, 2124, 2755, 3047, 3070, 4915, 6725, 6954, 7669, 8930, 8986, 9074, 10567, 11097, 11718, 12551, 12572, 13610, 13723, 14037, 15426, 16111, 16436, 18013, 18608, 19164, 19436, 20527, 21409, 21555, 21714, 22752, 22815, 23190, 23211, 23248, 23936, 24912, 26653, 27230, 29710, 29794, 29998, 30809, 30815, 32730]
[1148, 2197, 2786, 3762, 4229, 4572, 4872, 4955, 5735, 6145, 7271, 8400, 8705, 8780, 9276, 10427, 11000, 13124, 14233, 14512, 14601, 15893, 16026, 16474, 17147, 20178, 21072, 21407, 21483, 21519, 21915, 22499, 22516, 23529, 24206, 25586, 25817, 26105, 26979, 27614, 27885, 28312, 28651, 29703, 30164, 30204, 30921, 32005, 32027, 32460, 376, 2081, 2457, 3287, 3713, 5203, 5932, 6328, 6836, 7978, 8648, 8834, 9490, 9668, 10996, 11185, 11755, 12414, 12563, 13620, 13673, 14249, 15625, 16524, 16642, 17291, 17845, 18342, 19197, 20121, 20496, 21911, 23494, 23748, 23823, 24006, 25082, 25930, 27975, 28670, 28815, 29027, 29071, 29137, 29423, 29596, 29701, 30784, 30941, 32505]
[99, 777, 818, 2608, 4754, 4823, 5218, 6232, 6602, 6695, 7836, 8897, 9046, 9193, 11831, 12963, 12984, 13000, 14525, 15070, 15442, 15597, 15767, 16532, 17187, 17456, 17825, 18008, 18221, 20318, 21803, 22183, 22400, 22972, 23141, 23576, 25175, 25864, 25952, 26592, 26814, 27215, 27268, 28420, 29180, 31147, 31232, 31437, 31485, 31816, 324, 890, 1399, 1514, 3775, 3909, 4713, 4840, 5212, 5516, 5582, 5950, 6083, 8558, 8654, 8674, 9667, 9805, 10314, 10738, 11398, 11533, 11588, 12579, 13090, 13948, 14037, 14960, 15073, 15275, 16616, 16798, 17806, 18056, 18136, 18801, 19225, 19908, 20640, 20706, 21585, 23767, 24889, 26193, 26868, 27824, 28415, 29010, 29854, 32038]
[237, 975, 2107, 2940, 3624, 3926, 6505, 7576, 7613, 8006, 8972, 9206, 11140, 11998, 13032, 13245, 14159, 14396, 14867, 15184, 16228, 17146, 17557, 19536, 19855, 19869, 20119, 21804, 21855, 22178, 22418, 22772, 22872, 24377, 24441, 24621, 25115, 26328, 26711, 27643, 27804, 28630, 28753, 28760, 28906, 28927, 29803, 29919, 31868, 32167, 650, 785, 2723, 3157, 3870, 4486, 5318, 6180, 6267, 6475, 6956, 7072, 7124, 7811, 8039, 8469, 8979, 9420, 9560, 10055, 10585, 11598, 11806, 13996, 14168, 14306, 15190, 16468, 17795, 18096, 18356, 18620, 19915, 20223, 20280, 21190, 22128, 22285, 23862, 24666, 24834, 25491, 26599, 27423, 27922, 30493, 31194, 31506, 32418, 32730]
[339, 846, 1380, 1563, 2079, 2774, 2825, 3412, 4218, 4477, 4655, 4999, 5318, 5377, 5652, 5844, 7838, 8687, 9131, 9141, 9740, 9784, 10015, 10101, 11293, 11856, 12634, 12823, 13221, 14961, 15170, 16507, 18224, 18816, 19028, 19329, 19413, 19792, 20413, 21967, 22191, 25230, 25236, 26639, 27333, 27633, 27902, 29308, 29649, 31021, 668, 1014, 1566, 3724, 4475, 4490, 4550, 7114, 7343, 7427, 8251, 8560, 8633, 8755, 8846, 9246, 9330, 10456, 10912, 13316, 13697, 13811, 14112, 14253, 15079, 16511, 17297, 17839, 17929, 20816, 21001, 21002, 21123, 24553, 24638, 25595, 25952, 26166, 27700, 27987, 28218, 28773, 29057, 29553, 29894, 29915, 30417, 30992, 31267, 32045]
[342, 1206, 2127, 2203, 4349, 4469, 4633, 6352, 8190, 8636, 8715, 8774, 9343, 9730, 9768, 11092, 11315, 11579, 11840, 11984, 13369, 14315, 15268, 16690, 17068, 18138, 19113, 19311, 19511, 19533, 21798, 21860, 22070, 22496, 22570, 23242, 23702, 25620, 25758, 26404, 26727, 27514, 28987, 29252, 29956, 30297, 30892, 31116, 32062, 32151, 559, 2701, 3159, 4454, 5066, 5186, 5289, 5488, 6156, 6279, 8138, 8254, 9012, 9318, 10920, 11784, 11972, 12454, 12895, 13106, 13133, 13377, 14183, 14460, 14953, 15116, 15991, 16528, 17537, 17734, 18045, 18124, 18401, 19013, 20792, 21100, 21217, 23198, 25148, 26428, 26813, 26845, 28504, 29451, 29797, 29860, 30150, 30309, 32100, 32235]
[483, 1512, 1616, 1869, 3480, 4831, 4884, 5037, 5213, 6224, 6433, 6951, 7055, 7263, 7675, 9094, 9323, 9799, 10511, 10785, 10993, 11518, 11852, 11934, 12120, 13854, 16385, 17479, 17518, 17836, 18121, 19743, 20020, 20050, 20540, 20996, 21680, 22479, 22802, 23209, 23283, 23770, 24235, 24949, 26507, 27096, 27845, 28622, 28885, 29948, 1547, 2101, 2625, 2814, 3021, 4553, 4794, 4840, 4926, 5564, 6936, 7046, 7974, 9929, 11292, 12129, 12618, 13164, 13310, 15544, 16095, 16835, 16866, 17847, 19406, 19564, 19579, 19938, 19978, 20274, 21123, 22415, 22473, 22483, 22506, 23320, 23739, 23876, 24782, 27039, 27825, 27837, 28144, 28280, 28417, 29553, 30524, 30949, 31082, 31896]
[385, 499, 1593, 1738, 1928, 2003, 4443, 4943, 5463, 6221, 6850, 8372, 9336, 9637, 9902, 10886, 11714, 12006, 12187, 13053, 13663, 13909, 14165, 15098, 16573, 16675, 16840, 16947, 17372, 18177, 20258, 20925, 21303, 22833, 22885, 23368, 25619, 27149, 27653, 28552, 28871, 29456, 29563, 29794, 30624, 31062, 31706, 31750, 32476, 32518, 1599, 2153, 3209, 3796, 4305, 4394, 5192, 5404, 5955, 6358, 6635, 6762, 6826, 8582, 9148, 9484, 9942, 10844, 11280, 11535, 13790, 14509, 14933, 15157, 15555, 15680, 16312, 16765, 17531, 18931, 19809, 19971, 21674, 22897, 23003, 23660, 24339, 25179, 25895, 26205, 26374, 26535, 26866, 27086, 27185, 27854, 28625, 30657, 31339, 31423]
[116, 370, 935, 2549, 3093, 3106, 3903, 4289, 5318, 5525, 6028, 6729, 6799, 6971, 7439, 8984, 10391, 11952, 13037, 13475, 13972, 14365, 14499, 16475, 16828, 17356, 17367, 17592, 17608, 18002, 18926, 18979, 19341, 19381, 20140, 24189, 24204, 25829, 27289, 27803, 28294, 28327, 28599, 29239, 30231, 30254, 30602, 30900, 31412, 32087, 7114, 7424, 7442, 8369, 8555, 9462, 10073, 10646, 10862, 10907, 11056, 11895, 13198, 13253, 13481, 15237, 15284, 15999, 16602, 17186, 17445, 18286, 18575, 18604, 19062, 20587, 20978, 22755, 22779, 23429, 23888, 24236, 25345, 26195, 26420, 27555, 27750, 27818, 28057, 28155, 28308, 28315, 28523, 29101, 29492, 29891, 29966, 30713, 31907, 31924]
[627, 781, 787, 1557, 2122, 2191, 2769, 2917, 4536, 4993, 5078, 5275, 7621, 7725, 7825, 8039, 8191, 8199, 8428, 8833, 10873, 11125, 11590, 11803, 12539, 13233, 13934, 14069, 14115, 15148, 15259, 15928, 16859, 18276, 18663, 18971, 19255, 20264, 21551, 22107, 22578, 25311, 25773, 27167, 29019, 31325, 31607, 31927, 32238, 32362, 255, 597, 817, 2020, 2088, 3448, 3845, 4866, 5175, 5752, 9130, 10202, 12351, 12434, 13597, 13916, 14104, 14615, 14635, 14798, 14972, 15050, 15967, 18342, 19660, 19664, 20421, 21866, 21981, 22014, 22825, 23612, 24053, 24684, 25096, 25709, 26121, 27604, 27765, 27969, 28646, 29138, 29764, 29990, 30528, 30657, 31125, 31581, 32122, 32123]
